City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tahta,26.7693,31.5021,56.37,37,100,6.96,EG,1675878430
1,tasiilaq,65.6145,-37.6368,3.36,54,0,10.4,GL,1675878431
2,henties bay,-22.116,14.2845,65.3,84,61,12.17,NA,1675878431
3,punta arenas,-53.15,-70.9167,71.71,43,100,10.36,CL,1675878430
4,port-gentil,-0.7193,8.7815,84.16,79,40,6.91,GA,1675878432
5,cidreira,-30.1811,-50.2056,80.31,70,1,14.16,BR,1675878432
6,ushuaia,-54.8,-68.3,69.46,43,75,8.05,AR,1675878327
7,cape town,-33.9258,18.4232,76.1,63,0,17.27,ZA,1675878280
8,paamiut,61.994,-49.6678,24.33,86,100,33.38,GL,1675878434
9,maarianhamina,60.0973,19.9348,39.06,87,100,8.05,AX,1675878435
10,aklavik,68.2191,-135.0107,-20.2,76,100,0.0,CA,1675878435
11,college,64.8569,-147.8028,1.58,85,100,0.0,US,1675878436
12,necochea,-38.5473,-58.7368,78.49,54,10,14.16,AR,1675878436
13,pisco,-13.7,-76.2167,80.02,78,0,9.22,PE,1675878372
14,rikitea,-23.1203,-134.9692,79.25,75,5,14.07,PF,1675878437
15,barrow,71.2906,-156.7887,-16.58,69,100,0.0,US,1675878439
16,nikolskoye,59.7035,30.7861,33.8,93,100,7.38,RU,1675878354
17,butaritari,3.0707,172.7902,80.26,83,84,21.25,KI,1675878440
18,kapaa,22.0752,-159.319,73.72,82,40,18.41,US,1675878351
19,mehamn,71.0357,27.8492,37.35,75,0,33.38,NO,1675878441
20,cherskiy,68.75,161.3,-24.12,98,100,7.67,RU,1675878441
21,matamoros,25.5333,-103.25,55.51,31,75,23.02,MX,1675878188
22,fort nelson,58.8053,-122.7002,-0.06,88,40,5.75,CA,1675878313
23,sitka,57.0531,-135.33,35.49,87,100,3.44,US,1675878443
24,mataura,-46.1927,168.8643,49.48,94,89,7.56,NZ,1675878444
25,busselton,-33.65,115.3333,59.72,88,0,11.34,AU,1675878329
26,bluff,-46.6,168.3333,49.8,69,72,22.75,NZ,1675878444
27,san isidro,-12.1167,-77.05,76.59,78,0,9.22,PE,1675878445
28,yulara,-25.2406,130.9889,82.26,38,1,7.27,AU,1675878445
29,bengkulu,-3.8004,102.2655,75.13,85,93,4.7,ID,1675878446
30,kodiak,57.79,-152.4072,17.11,73,0,0.0,US,1675878345
31,cap malheureux,-19.9842,57.6142,80.47,77,99,5.01,MU,1675878447
